id	text	category	priority	website	logo
434	Independent Fabrication	Frame manufacturer	0		
435	Industrieverband Fahrzeugbau	Frame manufacturer	0		
436	Industry Nine	Frame manufacturer	0		
437	Infini	Frame manufacturer	0		
438	Innova	Frame manufacturer	0		
439	Intense	Frame manufacturer	0		
440	Iride Bicycles	Frame manufacturer	0		
441	Iron Horse Bicycles	Frame manufacturer	0		
442	Isla	Frame manufacturer	0		
443	Issimo Designs	Frame manufacturer	0		
444	Italvega	Frame manufacturer	0		
445	Itera plastic bicycle	Frame manufacturer	0		
446	Iver Johnson	Frame manufacturer	0		
447	Iverson	Frame manufacturer	0		
448	JMC Bicycles	Frame manufacturer	0		
449	JP Weigle's	Frame manufacturer	0		
450	Jagwire	Frame manufacturer	0		
451	Jamis	Frame manufacturer	2		
452	Jandd	Frame manufacturer	0		
453	Jelly Belly	Frame manufacturer	0		
454	JetBoil	Frame manufacturer	0		
455	Jittery Joe's	Frame manufacturer	0		
456	John Cherry bicycles	Frame manufacturer	0		
457	John Deere 	Frame manufacturer	0		
458	K-Edge	Frame manufacturer	0		
459	K2 Sports	Frame manufacturer	0		
460	KBC	Frame manufacturer	0		
461	KHS Bicycles	Frame manufacturer	0		
462	KMC	Frame manufacturer	1		
463	KS	Frame manufacturer	0		
464	KT Tape	Frame manufacturer	0		
465	KTM	Frame manufacturer	0		
466	KW Bicycle	Frame manufacturer	0		
467	Kalkhoff	Frame manufacturer	0		
468	Kalloy	Frame manufacturer	1		
469	Katadyn	Frame manufacturer	1		
470	Kazam	Frame manufacturer	0		
471	Keith Bontrager	Frame manufacturer	0		
472	Kenda	Frame manufacturer	0		
473	Kent International Inc	Frame manufacturer	0		
474	Kestrel USA	Frame manufacturer	0		
475	Kettler	Frame manufacturer	0		
476	Kia Motors	Frame manufacturer	0		
477	Kind Bar	Frame manufacturer	0		
478	Kinesis	Frame manufacturer	0		
479	Kinesis Industry	Frame manufacturer	0		
480	Kinetic	Frame manufacturer	0		
481	Kinetic Koffee	Frame manufacturer	0		
482	Kink	Frame manufacturer	0		
483	Kish Fabrication	Frame manufacturer	0		
484	Kiss My Face	Frame manufacturer	0		
485	Klean Kanteen	Frame manufacturer	0		
486	Klein Bikes	Frame manufacturer	0		
487	Knog	Frame manufacturer	0		
488	Koga-Miyata	Frame manufacturer	0		
489	Kogswell Cycles	Frame manufacturer	0		
490	Kona	Frame manufacturer	1		
491	Kool Kovers	Frame manufacturer	0		
492	Kool-Stop	Frame manufacturer	0		
493	Kreitler	Frame manufacturer	0		
494	Kronan	Frame manufacturer	0		
495	Kross SA	Frame manufacturer	0		
496	Kryptonite	Frame manufacturer	0		
497	Kuat	Frame manufacturer	0		
498	Kuota	Frame manufacturer	0		
499	Kuwahara	Frame manufacturer	0		
500	LOW//	Frame manufacturer	0		
501	Lapierre	Frame manufacturer	0		
502	Laurin & Klement	Frame manufacturer	0		
503	Lazer	Frame manufacturer	0		
504	LeMond Racing Cycles	Frame manufacturer	0		
505	Leader Bikes	Frame manufacturer	0		
506	Leg Lube	Frame manufacturer	0		
507	Legacy Frameworks	Frame manufacturer	0		
508	Lezyne	Frame manufacturer	0		
509	Light My Fire	Frame manufacturer	0		
510	Light and Motion	Frame manufacturer	0		
511	Lightning Cycle Dynamics	Frame manufacturer	1		
512	Linus	Frame manufacturer	0		
513	Litespeed	Frame manufacturer	0		
514	Lizard Skins	Frame manufacturer	0		
515	Loctite	Frame manufacturer	0		
516	Loekie	Frame manufacturer	0		
517	Loekie 	Frame manufacturer	0		
518	Lonely Planet	Frame manufacturer	1		
519	Look	Frame manufacturer	0		
520	Lotus	Frame manufacturer	0		
521	Louis Garneau	Frame manufacturer	0		
522	Louison Bobet	Frame manufacturer	0		
523	Lycoming Engines	Frame manufacturer	0		
524	Lynskey	Frame manufacturer	0		
525	M Essentials	Frame manufacturer	0		
526	MKS	Frame manufacturer	0		
527	MRP	Frame manufacturer	0		
528	MSR	Frame manufacturer	0		
529	MTI Adventurewear	Frame manufacturer	0		
530	Magellan	Frame manufacturer	0		
531	Magna	Frame manufacturer	0		
532	Malvern Star	Frame manufacturer	0		
533	ManKind	Frame manufacturer	0		
534	Manhattan	Frame manufacturer	0		
535	Manitou	Frame manufacturer	0		
536	Maraton	Frame manufacturer	0		
537	Marin Bikes	Frame manufacturer	0		
538	Marson	Frame manufacturer	0		
539	Maruishi	Frame manufacturer	0		
540	Marzocchi	Frame manufacturer	0		
541	Masi	Frame manufacturer	0		
542	Master Lock	Frame manufacturer	0		
543	Matchless	Frame manufacturer	0		
544	Matra	Frame manufacturer	0		
545	Mavic	Frame manufacturer	0		
546	Maxit	Frame manufacturer	0		
547	Maxxis	Frame manufacturer	0		
548	Mechanical Threads	Frame manufacturer	0		
549	Meiser	Frame manufacturer	0		
550	Melon Bicycles	Frame manufacturer	0		
551	Mercian Cycles	Frame manufacturer	0		
552	Mercier	Frame manufacturer	0		
553	Merida Bikes	Frame manufacturer	0		
554	Merlin	Frame manufacturer	0		
555	Merrell	Frame manufacturer	0		
556	MetaBikes	Frame manufacturer	0		
557	Metric Hardware	Frame manufacturer	0		
558	Micajah C. Henley	Frame manufacturer	0		
559	Miche	Frame manufacturer	1		
560	Michelin	Frame manufacturer	0		
561	MicroShift	Frame manufacturer	0		
562	Miele bicycles	Frame manufacturer	0		
563	Milwaukee Bicycle Co.	Frame manufacturer	0		
564	Minoura	Frame manufacturer	0		
565	MirraCo 	Frame manufacturer	0		
566	Mirrycle	Frame manufacturer	0		
567	Mission Bicycles	Frame manufacturer	0		
568	Miyata	Frame manufacturer	0		
569	Monark	Frame manufacturer	0		
570	Mondia	Frame manufacturer	0		
571	Mongoose	Frame manufacturer	0		
572	Montague	Frame manufacturer	0		
573	Montague Bicycles	Frame manufacturer	0		
574	Moots Cycles	Frame manufacturer	0		
575	Mophie	Frame manufacturer	0		
576	Moser Cicli	Frame manufacturer	1		
577	Motiv	Frame manufacturer	0		
578	Motobecane	Frame manufacturer	0		
579	Moulden	Frame manufacturer	0		
580	Moulton Bicycle	Frame manufacturer	0		
581	Mountainsmith	Frame manufacturer	0		
582	Mr. Tuffy	Frame manufacturer	1		
583	Muddy Fox	Frame manufacturer	0		
584	Murray	Frame manufacturer	0		
585	Mutant Bikes	Frame manufacturer	0		
586	Mutiny	Frame manufacturer	0		
587	N Gear	Frame manufacturer	0		
588	NEMO	Frame manufacturer	0		
589	NS Bikes	Frame manufacturer	0		
590	NSU Motorenwerke	Frame manufacturer	0		
591	Nalgene	Frame manufacturer	0		
592	Nantucket Bike Basket Company	Frame manufacturer	0		
593	Nashbar	Frame manufacturer	0		
594	Nathan	Frame manufacturer	0		
595	National	Frame manufacturer	0		
596	Native	Frame manufacturer	0		
597	Neil Pryde	Frame manufacturer	0		
598	Nema	Frame manufacturer	0		
599	Neobike	Frame manufacturer	0		
600	New Albion	Frame manufacturer	0		
601	New Balance	Frame manufacturer	0		
602	Next	Frame manufacturer	0		
603	Niner	Frame manufacturer	0		
604	Nishiki	Frame manufacturer	0		
605	Nite Ize	Frame manufacturer	0		
606	NiteRider	Frame manufacturer	0		
607	Nitto	Frame manufacturer	0		
608	Nokon	Frame manufacturer	0		
609	Norco Performance Bikes	Frame manufacturer	1		
610	Norman Cycles	Frame manufacturer	0		
611	North Shore Billet	Frame manufacturer	0		
612	Northrock	Frame manufacturer	0		
613	Novara	Frame manufacturer	0		
614	NuVinci	Frame manufacturer	0		
615	Nymanbolagen	Frame manufacturer	0		
616	O-Stand	Frame manufacturer	0		
617	O2	Frame manufacturer	0		
618	ODI	Frame manufacturer	0		
619	Odyssey	Frame manufacturer	0		
620	Ohio Travel Bag	Frame manufacturer	0		
621	OnGuard	Frame manufacturer	1		
622	One Way	Frame manufacturer	0		
623	Opel	Frame manufacturer	0		
624	Optic Nerve	Frame manufacturer	0		
625	Optimus	Frame manufacturer	0		
626	Opus	Frame manufacturer	0		
627	Orange	Frame manufacturer	0		
628	Orange Seal	Frame manufacturer	0		
629	Orbea	Frame manufacturer	0		
630	Orbit	Frame manufacturer	0		
631	Orient Bikes	Frame manufacturer	0		
632	Origin-8	Frame manufacturer	0		
633	Ortlieb	Frame manufacturer	0		
634	Other	Frame manufacturer	0		
635	Oury	Frame manufacturer	0		
636	OutGo	Frame manufacturer	0		
637	Owl 360	Frame manufacturer	0		
638	Oyama	Frame manufacturer	0		
639	Ozone	Frame manufacturer	0		
640	PDW	Frame manufacturer	0		
641	POC	Frame manufacturer	0		
642	Pace Sportswear	Frame manufacturer	0		
643	Paceline Products	Frame manufacturer	0		
644	Pacific Cycle	Frame manufacturer	0		
645	PackTowl	Frame manufacturer	0		
646	Pake	Frame manufacturer	0		
647	Panaracer	Frame manufacturer	0		
648	Panasonic	Frame manufacturer	0		
649	Park	Frame manufacturer	0		
650	Parkpre	Frame manufacturer	0		
651	Parlee	Frame manufacturer	0		
652	Parlee Cycles	Frame manufacturer	0		
653	Pashley Cycles	Frame manufacturer	0		
654	Patria	Frame manufacturer	0		
655	Paul Component Engineering	Frame manufacturer	0		
656	Pearl Izumi	Frame manufacturer	0		
657	Pedco	Frame manufacturer	0		
658	Pedersen bicycle	Frame manufacturer	0		
659	Pedro's	Frame manufacturer	0		
660	Penguin Brands	Frame manufacturer	0		
661	Performance	Frame manufacturer	0		
662	Peugeot	Frame manufacturer	0		
663	Phat Cycles	Frame manufacturer	0		
664	Phil Wood	Frame manufacturer	0		
665	Philips	Frame manufacturer	0		
666	Phillips Cycles	Frame manufacturer	0		
667	Phoenix	Frame manufacturer	0		
668	Phorm	Frame manufacturer	0		
669	Pierce-Arrow	Frame manufacturer	0		
670	Pinarello	Frame manufacturer	0		
671	Pinhead	Frame manufacturer	0		
672	Pitlock	Frame manufacturer	1		
673	Pivot	Frame manufacturer	0		
674	Planet Bike	Frame manufacturer	0		
675	Planet X	Frame manufacturer	1		
